4
10000 10000
7752 110 818601620
7712 6752 924224273
6554 1034 954830147
3666 5030 789055398
8145 5436 975230875
393 2737 902887060
1597 77 970896785
5559 1425 304199381
6067 7832 830637338
2326 8613 475989043
8047 2359 808014958
3443 3146 825081015
8201 9233 691314572
7663 2717 513502586
8045 1289 787070726
4889 6477 990917067
3706 5170 969199879
1615 8028 665618214
3257 8406 943568963
88 7248 531666090
8726 179 564237015
6543 9329 609879448
3883 5053 643053376
4974 9075 650458756
1497 5260 625966254
682 6861 790537301
4215 6877 875579701
9146 4130 963892047
3279 8902 878934691
7249 4384 409989082
452 8986 662424844
5544 111 843927817
7569 5400 954525924
9160 466 705044584
4542 8738 954001765
2789 9811 879391658
9148 1275 953176777
5142 9177 721680975
4893 523 891760052
1424 7914 921852922
9128 212 615028191
2554 5441 935565556
4578 2788 299353186
5089 423 900209051
4918 1600 950597346
9746 7368 885272151
1555 731 877589472
1429 9248 790739923
4755 2370 937436231
7059 1956 830133843
7808 5502 723289549
2941 4652 474422044
4616 754 654906023
5821 3777 880687115
180 4373 917096679
2144 8295 984814153
7996 7132 841879371
7926 539 844223951
4502 4886 986923133
1154 7930 863756042
3667 7417 911053979
6375 9566 733022579
5029 5396 975888906
1318 5480 696556649
7247 7479 721398911
3256 222 933460433
2474 5935 905955597
1112 9531 994894618
9455 3547 682220294
9854 3174 496867173
8540 3015 949761709
4232 1465 676152178
1382 9944 988319843
5073 3006 691383077
2376 5460 807322771
6052 1234 889559059
2117 1431 769591506
7874 7340 579563595
9459 7806 466442155
5346 9648 929635836
2341 8151 990712959
3084 4726 928366355
2039 6357 859981730
5942 5240 957267303
5029 8171 927489177
9299 4231 998909136
663 38 633443311
1570 8991 507708966
2766 656 971442515
9714 1772 579260268
5637 3281 828886125
1659 4404 846411933
6145 5980 608791424
6401 7372 594574705
8888 2658 876846818
2566 3309 642299323
8114 814 866985578
2635 1138 657287843
9476 7565 824575615
6838 1271 505582327
4921 4546 992648098
7356 6926 765652238
952 2524 984254864
4945 7208 615383154
9669 2230 994668435
9422 8819 704719818
4435 1680 900553390
2475 3170 956228264
9763 9534 953708548
2164 8202 948761495
1139 5491 529102726
4306 4862 953427437
5131 8413 770726733
9066 5558 911313113
7011 2751 980410422
6554 6218 631896644
1252 5193 968161711
6617 8043 787344040
24 8280 738660397
7279 5023 943123556
3105 1321 397190812
4982 4191 905248276
5309 8268 965440247
4637 5729 559393527
1278 220 942091613
9088 8788 955065010
2096 7672 586549654
725 6175 514329573
2469 9777 642293112
7229 8955 649663100
6954 786 964459669
4186 3855 934671141
930 6342 527403894
5849 7492 942148266
5500 9298 927518303
2712 8486 638727709
5181 2919 956886141
1981 9323 823045341
9706 1852 800397187
2102 1113 850465280
9599 3431 629323369
1335 324 770001427
3120 2914 971414937
2999 4972 809655990
9407 1609 480745744
1133 2170 998383355
8887 248 911479842
4401 3460 672510379
7981 8605 634853119
5028 2393 926118162
1969 5084 812317141
1170 6907 741442495
7638 9896 932475300
2263 2311 846723282
2687 2706 840362053
7480 6047 928121882
2861 8308 681810088
721 5324 802342156
7534 5230 878188687
5396 9595 782777206
6989 9214 980321699
2013 2989 530020628
231 8416 890641060
7693 8065 543816219
7332 9272 327068234
23 3651 874718977
3347 7191 859848971
7836 7347 880448629
2153 2073 832498148
1433 6913 373437452
9881 8859 911803550
5265 5225 659923483
6583 5275 990340574
3949 5200 806368561
8810 7990 568504039
9777 1253 998739368
4858 6042 771429766
7353 3442 823602557
2021 1855 969797535
9131 6426 870518846
1033 6564 673324366
3506 7536 639024323
3472 5651 797166871
1518 2804 538188547
7326 7676 884436941
785 4418 984757593
2505 9045 896707175
6093 3411 934407995
7040 7680 874905538
4745 7443 933471150
9419 2426 777732129
8338 5798 752608114
3848 1757 882745983
8192 195 823583870
8341 8176 718880810
1264 70 960222399
7692 6958 512270800
9170 5034 966510182
8815 3504 940862063
8335 509 592466072
4977 4297 695334796
7164 6702 219628077
6071 7823 838799850
2748 620 956230242
7034 4469 934945591
2045 8650 932749909
451 5686 539092023
3868 7459 879972938
5037 9282 883668813
9362 9726 914890194
743 2058 775427473
5243 7801 788333143
4929 8754 865377427
184 5743 973319352
1933 3023 698970001
1730 4423 826424436
7609 7167 853528395
2078 4433 862954311
6303 1968 596800447
7542 466 426970039
1117 899 580986885
2078 9956 849604777
6418 5868 577859566
7010 1919 612481896
3519 2070 991526724
9649 8833 596404709
7873 8194 891333514
8771 8329 384988458
4466 3820 739639379
8003 4946 790470990
1959 586 742662209
1666 169 886935546
6208 8695 969577968
7022 408 721410643
8671 8439 855394408
2278 8071 984174842
4151 1921 780891465
8005 4711 690897211
684 3794 373750121
5131 2627 835387118
6095 1694 924714348
945 6446 963251717
2129 3979 614986638
2237 1025 746453265
1799 321 894105575
3263 4226 704367629
3319 6132 881445455
1569 7733 902406580
9829 4152 732039857
2763 6320 668291434
9579 2316 936446778
776 7708 976630315
7653 5909 691146568
9376 3941 872772627
5030 488 403560373
4280 8518 756504153
6183 7151 651044533
8629 3467 797946240
6898 4457 918075523
1109 6689 749510510
7969 6366 710070043
9342 3332 989397361
2802 9037 956171960
302 1960 615904184
1584 9853 832623073
1287 9965 912943514
9020 3498 544011578
7482 8875 877562669
9778 1398 661126308
2038 661 918446615
6110 7345 975380078
307 6883 900743432
7947 5553 529686037
5369 1076 881297335
5197 7333 842072423
7581 170 759022632
9876 7938 909827312
4660 4594 809032176
2332 214 949522723
8529 5623 362610235
9424 1411 763848629
4650 5730 973474789
8267 1618 768311524
8193 7268 983023558
5297 8109 954213365
9698 5635 841232969
8233 6205 844068972
9796 1168 721325825
9945 5871 831678301
377 7936 775879333
9371 7329 938883797
5948 1908 817047928
4429 9245 553358765
9319 537 918036697
3425 6806 972502762
1258 1477 939532521
726 3061 955797778
3697 4703 728644303
7626 6275 627009380
9482 3599 581422391
5670 2000 836542428
2136 3839 749459096
3699 3477 853712796
4780 7511 891180931
615 2801 348973831
2478 7103 683140570
1362 3860 926871219
9924 2804 532956008
4249 4929 818625220
4100 1116 601013568
6572 3966 666314520
4278 575 424410767
7415 9179 481320944
6967 5897 896052093
7730 2913 832703784
8318 7876 830160357
4788 1148 626175731
3522 6451 905812078
8978 4566 741729807
5656 8056 777524701
5509 7442 808005276
5561 6757 706181058
3124 8638 600049860
7115 9204 915701519
4609 647 666013685
2084 6732 901202553
6391 8213 539361965
138 4761 845226297
4829 4443 873526798
4273 4856 712108361
2253 5419 783645137
6462 1677 663268155
3940 1952 980325701
9476 57 483259218
977 7550 668199094
6869 2774 661070193
888 7810 886522458
1417 1493 843691944
9877 9068 896411382
3839 7582 433585429
7377 4454 771269856
5369 148 741378924
6079 6540 988613281
8778 9768 948711227
154 365 886030504
3743 3934 519474332
855 3466 644126983
2826 8477 790635105
5611 2381 731162854
8979 9772 738667870
8584 6798 779012221
4170 6878 775413417
5394 6031 190216567
3923 683 990886738
3187 5231 898697100
6937 6912 945080878
3555 4107 685404277
2463 4766 790799139
4332 1371 978405174
4352 6900 785749787
2168 4756 892682446
7474 5556 968484951
632 8982 569852610
5715 6231 862344860
407 2072 938586344
1309 3275 915128221
4728 772 565049847
7369 2101 858293023
9568 7657 949022754
3788 3827 986947211
6327 1014 911999962
1992 5214 311616128
459 1807 651992904
2483 8158 994722509
557 3272 882647883
8957 3613 546793802
4322 3199 943830214
2160 9776 999906198
88 5160 988964682
7905 7124 674340114
4050 4752 982622079
6186 7920 920635958
7080 7021 879407830
5979 2276 656564216
9825 5814 664570294
8441 985 649648406
9196 7850 767193966
8927 1808 930092527
332 5777 960033981
8423 5157 586787458
5760 6256 730327554
5162 6943 681054167
5209 2651 990096432
4960 2294 985438763
5684 4348 844466885
3150 4480 753644852
8062 7427 718190865
1295 2534 947629303
6214 7918 610955894
5516 5397 950222225
4825 6895 857571647
684 789 263186978
1911 4266 862168240
5798 8887 688271811
3186 1492 899226448
3792 1478 810354757
3835 237 926873779
1628 3705 413371619
6932 5042 860559750
7924 2261 785045303
4437 3076 836724039
953 3668 833654898
133 9101 851768879
645 3344 565057181
1048 1463 149788221
8200 1958 968397244
655 4732 896821778
9705 7804 795906489
1814 1930 893887057
8230 7488 673471512
2656 6503 761916801
3369 4617 722143473
3563 532 671173733
4515 6055 289691750
6718 1167 910415975
9087 4616 602001306
5422 2622 462394924
2655 7471 664746036
2716 5718 717828680
3084 9332 926902641
4660 7250 635636785
8807 4972 748598610
8629 3628 979518592
8341 1476 420769171
7151 9180 748348722
6 4466 984729287
45 6237 694109690
326 9842 838951854
1708 7131 903163757
5570 9848 599538161
3155 6614 958806844
3750 6167 996446226
7602 8195 947862769
248 4307 919059752
5150 1930 560851177
9906 5373 727398726
6816 9538 976852954
5223 2980 706907258
8841 6220 657612985
3650 5067 883266943
896 4964 566552220
9439 872 963648737
9364 6007 980589923
807 8144 981466415
149 2016 815423715
285 4755 951302807
1582 6108 954697469
8554 3388 713052867
9105 3022 681135251
5948 2876 459156201
8748 1123 944762291
7903 9336 470996783
473 746 681497875
4016 2324 767732965
9644 8916 758617163
7719 9950 940446387
8542 5076 986541957
5395 7792 896848051
6197 6826 418127961
9118 6011 858309188
6676 9020 830886380
8362 1707 952167736
6402 5241 919699374
160 4487 855864571
532 2921 586848689
3585 9183 858388354
1660 6790 988522590
4869 2222 737010808
5383 2920 963908955
2420 8598 558342886
4239 5099 883402548
499 716 463388676
6324 9232 896166983
5267 5977 630112046
3449 4567 917564698
230 7177 821036498
5624 3892 861621364
7710 3370 534217001
5477 3624 725633597
5619 5557 991260017
8844 9213 838440861
3938 9403 920242504
244 5592 775730296
1383 6330 469611127
9374 5289 999764998
8424 7324 813719452
4179 6796 873550328
5111 2256 502239399
3016 973 404633935
7441 5357 900381514
5234 8859 689427523
5646 1611 739069586
4877 4642 817453385
8298 3937 859029892
6172 5972 981516348
7315 2698 890270158
1208 5590 663109239
8377 7663 802157483
4517 3683 735612562
9741 4423 482871432
7777 2044 877667098
8052 3507 807423124
2563 5417 804891084
7052 459 825915887
1288 2312 776657537
6882 8616 704886312
38 505 946243859
1777 685 986231246
3542 6490 833324376
8015 3719 846375173
5887 6585 939518652
2333 2758 832544161
4157 2869 737646249
371 6018 893887664
1934 5850 610620702
2699 6087 990113834
4608 4158 993343116
3682 6840 875690069
7639 3533 926645760
145 3658 999243644
1923 6758 914614862
5701 473 743149953
8440 4324 280934328
7429 3477 634612852
6585 5861 940848663
6048 4053 885844415
9232 5280 771141027
2874 7781 552672520
7474 5995 787171230
5169 2738 983760011
9804 3859 506201676
709 1349 956293866
2209 7173 870461406
5763 4312 850752207
4704 3051 973550638
7353 2576 951156198
7459 9493 988534888
3272 3728 943872098
2749 6298 833289335
1401 5807 832380579
1871 6613 951235776
3148 3317 602485764
2607 7992 770928384
5214 6971 996048090
8972 4319 807374881
5419 4502 879439351
1340 1431 774582053
5363 2515 820510455
4289 6138 700950662
8030 8711 827908038
1333 6623 928528498
7179 539 684862924
8415 9324 664689398
9863 3275 995984203
1336 4902 726677149
5886 672 892793601
7369 105 965584394
5402 9778 684736214
2969 8304 911613440
3361 2394 839926215
3069 9061 695601471
997 6584 898646194
4116 1110 848587724
9947 5265 585422659
9509 5188 916242976
2594 1972 945372749
5268 6471 620327808
4423 2790 666279987
2373 6160 587346398
8589 6709 928189280
5036 8167 845343903
9197 2645 952163820
4861 389 745637991
6332 9255 993977693
3373 7093 710403338
6651 3469 657978567
4891 492 698890475
7521 1294 985995794
7533 220 858810886
3057 581 981961088
7819 4277 874066045
8987 1979 543909582
372 5842 597183027
9356 2102 619465218
8681 4093 832149827
2669 2343 919651759
6997 4146 990664325
6115 7798 879967826
5346 7260 889119197
1526 9371 892302375
8708 6398 408451233
9516 7504 609194480
6368 4814 750194217
5170 6384 821717158
9295 6475 857954518
4300 7863 842205272
5094 4108 974391174
2651 994 966405084
2666 9435 201363235
7348 6677 726286371
7614 7486 704207188
6342 6482 986536710
7286 2676 500469168
4491 144 942569003
1490 819 852539435
251 5292 697990776
1912 2727 727889537
2157 9867 998332934
8183 6108 845090764
1121 324 773192617
244 5918 805558448
1817 2457 307512173
2815 5782 946342135
744 2176 690608481
6644 3427 969250095
4089 7690 964400684
6164 8624 745044455
862 1814 893971389
7697 8432 513357941
2287 5415 913624932
4170 2595 638657502
8133 4624 878537176
9339 4122 929631560
5809 4302 734440137
8828 1228 916616089
4581 8688 769852595
430 8579 894664087
6995 206 935793389
8643 1628 758671022
2344 8928 595527553
9625 97 987783143
4738 6275 539963338
6701 1328 454120625
1845 7041 963083563
9767 6643 866680565
7199 3057 699477094
7974 1441 277500480
9402 3100 887608506
9835 6967 905658209
8710 823 945713289
1973 9934 862653618
9376 5316 910974240
848 3839 715765861
7788 4287 729468299
2200 4156 899489371
4783 9673 812158021
4688 2307 795968411
5933 9232 914556433
2193 5867 844758927
1022 1188 477506942
8347 7822 789447681
7217 8925 952747924
6420 1405 874834558
5017 9295 853908797
451 8491 936839349
6976 9703 602975176
3048 6617 859575224
897 1751 862184757
5406 5170 898292037
2581 4938 737923552
8066 3059 932963311
5721 6453 904096390
4773 6901 875287901
8326 549 983046692
6181 7772 806203563
2975 2909 909118804
2289 5729 351145778
8524 1257 554637258
2345 1892 923906408
3179 931 715625628
3416 748 912757427
8245 771 656122791
9082 3922 966369883
3605 8748 923182517
6654 7855 808028503
7211 8736 834155158
4460 476 955392762
5334 9916 958103424
2523 3766 923086210
7769 5494 653424166
3069 3890 677236056
3183 3256 878776076
5509 9157 652574159
1141 2815 946150064
5430 1860 800512009
6083 2474 921399135
468 9790 760544960
9264 8584 827825825
3605 9946 934838952
8016 8743 887061453
6014 2479 897350916
8414 8354 910314591
6084 9383 852805273
7112 4934 650813667
1659 1132 837973717
4596 9237 894272593
7449 7722 903169172
7883 1156 882227462
4177 1529 864272228
6400 13 989361016
6314 4250 863500568
1825 5425 994296249
8625 5748 727675860
5863 3652 681719727
6535 9134 372925786
5782 6150 830543076
6801 5682 899845811
8250 9326 597427779
8638 548 967917107
1391 1572 826393489
9458 6335 997248812
5805 2414 956022499
8117 5303 754131013
9774 1925 907001388
74 5492 927508525
5826 2977 686432184
9195 9451 929981531
6466 5547 943889813
8047 8498 915146185
6694 7882 940940028
9348 8019 782781079
4875 8202 964620854
9704 7761 872385457
7890 6898 704896616
3153 9376 759920085
7475 7624 656937200
9544 485 583019313
387 8498 800669438
4328 2732 951874419
6151 1432 976439340
334 7459 843854303
851 7055 801025872
7289 8108 859527310
188 8691 825405611
5754 5176 705213994
9748 940 830019616
4033 6359 969115541
2489 6857 568535320
7774 7759 736968198
417 644 801471500
2635 4096 717696166
4955 1108 467613348
2648 819 786493125
4155 2359 687500324
6924 3806 956834746
8864 9592 876915797
96 8379 899980282
1416 7086 966060036
2928 3792 658598359
6851 9505 822184320
7988 6898 913401581
4643 1705 950818943
7939 6021 706148629
837 466 771125321
1376 1335 785425964
5750 8400 979996411
3755 2222 629450055
4565 1014 569860300
7077 3331 463615792
5817 8261 896291903
5758 9570 939861402
1716 4036 979188448
9316 2483 908275246
4862 4303 828714311
7392 1614 861207657
9988 9855 536667177
2984 5655 668044875
7499 4970 963085220
365 7362 982882529
1241 9488 975401984
1765 216 393600676
3677 8276 976362184
4836 4185 738021075
4198 2965 875605695
6777 6111 978198790
1686 3195 666219860
6196 1713 934847149
5341 147 949316321
6665 2599 776919585
7245 9680 876660378
3921 1693 748766536
7700 7286 929082889
2651 5435 626131033
9711 8011 966491278
8405 6441 723177893
1971 5474 824620902
4803 4007 356310644
7545 2573 577373618
5959 6290 723602834
9506 8428 539163688
9980 2646 837637671
4012 9436 900305706
2477 6970 727042224
6042 8649 815390752
745 5240 999027579
4638 552 976408879
5917 6947 884894097
9978 973 898233368
2600 1853 851137071
699 8095 935895175
8467 7997 533579478
353 4932 890351636
8381 491 716265323
3861 6010 843730584
2452 1211 986573609
7882 5560 851824982
3496 9697 879010852
1866 836 957338611
7291 346 619577757
9270 7197 813343977
8664 6292 823062117
5229 6806 778482773
2297 3280 884613534
6051 3241 843621277
5835 5177 838188208
752 5161 518291878
4014 2149 902341596
9236 5118 589865699
5753 1745 688570115
3258 2125 793648718
1205 6534 752306642
8265 7499 718910388
8599 3499 989310954
5028 1744 877723085
3558 5792 772697203
9937 1630 605284745
9538 3893 741015960
6908 7834 793725820
3380 3051 317623363
73 5007 865512732
8059 8447 794527453
4731 2940 913070669
355 9155 457905078
2336 7348 929022422
9457 7655 843741931
3825 2578 650044057
9653 153 326427694
431 9627 892837236
7285 4689 914262734
2643 1735 673518712
9773 3187 928015045
8358 696 957318546
2953 1698 685470892
4868 9352 939359753
5578 8875 923247726
9961 3465 406084548
7861 7226 800253405
6782 1942 911199835
6943 1510 872199719
5939 8516 714419386
9369 575 716290095
8967 7894 688728665
7872 9437 768499544
6137 6645 901139466
4225 9233 698558832
6871 6100 809734766
2054 6567 760536244
7289 5886 952576812
6835 5703 965991829
4220 5295 943136777
5013 480 629264294
9312 8740 533947819
3217 2894 712886103
1979 1517 854169134
1066 3456 916282642
3276 4972 859882714
863 127 973965146
3688 5841 947393963
7284 2993 955908864
5604 6145 571776316
9411 5561 929150511
1653 3070 818421261
1345 4547 912149203
117 8135 872072875
6097 4734 561422504
5674 5745 935513593
9834 7642 926368983
1320 6447 775966065
1483 8798 844779003
8215 9553 968926514
9248 2106 794273477
6811 3926 772759605
5919 6292 764646099
4134 5487 896671433
1235 130 751851540
8163 9167 741505146
9971 8588 918076816
7866 3977 511321652
7488 4842 731029001
1973 1330 968355043
7448 8174 976345262
5412 8797 832011562
1887 8480 460458480
7963 624 869670729
97 3701 263174813
2275 8097 739911817
9182 558 867886670
3564 2385 540673008
5471 3837 873322572
5299 9484 679128071
6309 5716 758287583
6329 217 706380214
4043 7278 965302252
4805 9703 808352340
5075 4266 731553860
9514 2157 933542052
9801 9572 963204562
4058 9915 841930444
7270 2291 977456681
9114 3185 519263915
4106 2389 988375122
2913 7899 897562095
3742 8678 824423888
4142 8131 872309285
4742 3364 560623308
7888 4175 967981688
7256 982 950781666
6383 7559 476496195
8985 8294 930513176
5211 9058 788936325
3391 108 764844514
5434 4111 718200885
7070 4539 796757555
4897 2675 982744456
3772 4750 845795230
8060 6607 986862527
6002 1421 649471679
4444 5657 499177017
194 4099 706022258
4595 4617 823262077
7783 7417 947601878
8437 7853 912176854
4569 2769 900457457
8169 6554 690711585
9802 4907 652022233
5932 2383 886150644
7253 1392 953840905
2205 579 884296900
7765 8794 814151610
3872 2762 903654286
7689 8245 685573441
1557 8905 879213328
6558 3293 714060873
7820 6555 547334554
9859 6403 414299331
9014 9416 980095679
7196 7005 983896355
359 5733 577312701
4664 454 782555535
528 9588 761774897
2744 6949 945866836
4257 9729 958408113
895 7843 773217381
7082 2038 939958762
7140 882 920012448
2402 8804 850550669
3760 2991 958137549
6267 4939 799914410
3825 2581 591351783
6067 2205 942873482
1513 7641 861876343
5885 452 968551856
446 3800 569416759
7650 4559 893695008
3131 8925 596233522
80 1000 898881466
1946 8010 917475507
5081 8269 822477461
1643 5237 730562813
2166 2705 952635532
8392 6816 757896330
7898 898 868449910
3806 6420 986904220
4553 1797 543449290
7287 251 771006260
142 9431 866102980
802 589 798248416
9214 7931 932694899
2887 9250 924385682
894 1474 959670558
1903 7878 534853542
929 8084 641950648
1847 3537 733915732
3299 9544 831006207
8005 6427 857275877
7055 1868 510737204
5636 6442 717409057
5099 1257 657841148
4175 4384 779222891
4465 1928 853671048
6811 3432 955642661
3180 6822 756329914
2330 7608 680891646
6351 8915 460913147
1558 8538 955493088
4918 7349 729656509
2566 5881 721953002
1326 3385 841031250
4257 8873 567568424
4367 1883 547526658
334 8094 982927718
6821 255 542443815
8317 1484 718782071
1641 8985 978161940
6785 4300 670438914
1948 8410 851067062
5820 5679 914369820
3791 7444 946708807
7817 60 966175053
762 6320 780747421
8592 2633 920626127
8659 3313 787167482
4790 3955 857099818
7146 5320 708324971
5059 4520 532313662
196 6407 563066459
8028 3140 985412185
9889 6865 976489065
8520 1605 913717651
2539 9970 807537389
9124 9769 784704088
7420 2569 733377225
7878 8423 466429563
8946 4816 931550774
6985 9615 990230751
1371 1430 947593948
6629 8141 521082240
6422 4732 568130908
4223 3298 431658649
8981 5222 953569558
5170 3062 792699996
4144 7518 984252084
406 4696 807499262
6739 8445 802680591
3083 4946 789114002
8229 2971 821483475
9171 3085 578153415
8242 2630 861414411
5772 9800 939961736
8482 3184 881977318
1413 7797 894524440
8350 1051 981506642
4746 7447 878486213
3138 9388 948897444
1566 8750 709276079
8768 3402 927911150
4291 4820 861327470
9292 1587 588881866
9872 9995 873840898
481 7856 780363294
8658 4632 920763100
829 4863 905729642
4348 6939 964923074
7107 3995 817069187
3240 7814 855459953
4179 9129 787041987
1055 6393 946981959
3857 7924 956007976
751 4292 720008789
1092 8413 734918271
4479 4160 959806927
8509 6406 775267214
9371 2333 849547416
3529 8993 726214419
7411 1883 906314992
4818 8056 966543921
5303 2749 403871487
3815 670 912989376
6189 4511 947374808
6220 2001 901733827
3839 618 961706269
9188 6597 848485162
7635 4251 985788586
5113 3502 974726857
5740 1510 924189609
7803 3151 979359420
6587 9632 463100113
2120 659 945592780
3002 415 864110775
2903 5389 717524979
9081 5730 563669615
4523 5692 983201972
1312 1475 450030207
4827 4358 890990547
7800 1806 949595959
7430 6491 792666976
1211 7973 870174234
7423 426 759914324
8880 2882 888232677
221 2389 930010356
960 6550 897546803
5833 2510 891970767
8150 124 389284253
7473 7537 813170312
5498 9453 271601458
3223 5936 823806255
4237 373 886406105
366 6297 850861984
4201 9822 966765739
8498 2965 848220423
5670 5357 768392224
4216 3154 968784390
1058 1019 636703722
7391 7148 936621228
9012 6117 998707849
3836 318 931901723
4816 2640 895707779
6892 2419 856949488
2716 7454 924036674
420 5541 972871482
5702 3034 242945973
7421 8137 999958832
8670 46 940630691
3056 7661 929940240
7591 6290 905570152
3438 6430 864266416
8412 234 607131921
9129 1035 385030378
763 4723 810261339
2201 3067 627123895
97 9433 887737100
451 1904 962230147
4952 8895 919445884
3685 2885 998087016
938 2983 886195599
5421 6354 723018700
1731 1999 837553295
7488 2391 933250550
3553 3594 900728032
4238 3375 635304897
9906 7123 656128889
1506 6774 937042999
2958 9609 416937645
541 6155 910319405
5063 94 734619053
8382 5512 961466363
1313 7372 918980288
2933 5471 899628986
4645 9811 886483238
680 6259 806309621
4901 5365 830970201
4398 1370 770732702
8731 7403 972242910
3423 1023 835532475
5456 8061 825502988
3304 8883 883725007
6276 2047 856228736
2979 6232 989536051
7466 9391 902973303
9696 4775 787590230
358 9563 636274682
7024 3356 869902165
4804 8044 981802970
4397 1436 821057711
7098 9416 866558754
4788 2991 983870128
5274 4467 961909825
7605 9017 656940154
9307 264 846758610
9323 4762 938779071
8562 7796 877799293
4862 9745 889213467
2937 198 927060045
4573 263 820609766
1899 6548 991118618
6268 5307 664906648
7203 7443 757008598
7482 9692 997983671
2363 9129 806707223
2447 8302 892116549
7839 6737 749019730
6355 7771 974566223
3520 8736 885976973
4201 2257 617650490
2379 5802 894482889
4369 1503 868686927
3732 3837 537952422
957 4844 654165928
4290 3241 934307714
4264 4666 991141504
7129 4257 755337393
5495 1828 649560044
68 7231 948194430
6641 8460 934406052
5048 5998 586935267
5806 7510 822247500
2785 6669 444418438
6531 9649 584943926
6742 8914 994420378
1624 3201 959287874
7207 3534 680501386
9152 4488 985211865
8560 7854 612334213
7040 1798 971891609
6559 5681 812205319
8557 8791 807749272
4562 5319 989616627
6591 6974 720754739
6282 7762 520610509
9140 8521 992410172
8878 4406 943487688
6877 5433 862366814
7272 6901 863893944
2132 7017 880332689
1167 9676 967308375
757 7021 513965086
2482 2242 906045778
4692 5812 851812475
4442 965 869330001
45 4617 946451483
1500 8455 754986148
2002 4936 900770452
637 9202 958332757
3638 8269 432319081
4896 7257 895659911
9002 9050 861593824
455 9913 964649432
3653 325 641841196
9996 5443 564179546
8226 9445 615079009
8136 7067 943172982
1856 696 990250264
288 7758 992432613
7983 6733 692739641
8505 1317 983166721
9269 5278 934990865
3431 1635 795406525
2188 2223 680168754
969 4352 729353608
9422 4772 746853830
9757 5963 780821709
3897 4520 632079061
5042 7290 409398219
2033 8757 990390791
6865 8928 911304704
2527 6500 986008106
7708 6795 493259644
996 2322 988988215
5300 6868 533352083
1463 4438 859102480
1681 6016 979195397
2902 2775 991390390
1896 4933 993366186
2690 9058 954680602
3091 6368 813529356
1704 2492 704204744
2161 2999 480731485
5827 4430 781804112
7778 3839 822421144
5218 454 542796306
2412 1795 854475181
8088 2220 997978970
1304 8241 988128085
1283 8352 965375745
616 3581 889772859
8195 6855 969008344
6150 8410 914337034
2443 2749 668524979
6756 1145 752023806
7812 9387 714579441
6910 6726 827680696
1417 7035 725662074
935 7909 774949143
2710 3667 720287227
524 6830 983679739
3122 2924 918893020
9300 3822 573677923
1408 2177 926016622
2868 9721 846209851
4309 3532 929698861
5262 1276 948074922
2132 6032 715602320
3630 9571 660732206
3447 9535 976023722
1574 1378 879914208
2469 2156 673459187
1224 5235 788007684
9294 155 909457484
4064 4618 825725302
