1.4285714 21
9345.7943925 30 0
9345.7943925 31 0
9345.7943925 32 0
9345.7943925 33 0
9345.7943925 34 0
9345.7943925 35 0
9345.7943925 36 0
9345.7943925 37 0
9345.7943925 38 0
9345.7943925 39 0
9345.7943925 40 0
9345.7943925 41 0
9345.7943925 42 0
9345.7943925 43 0
9345.7943925 44 0
9345.7943925 45 0
9345.7943925 46 0
9345.7943925 47 0
9345.7943925 48 0
9345.7943925 49 0
9345.7943925 50 0
9345.7943925 51 0
9345.7943925 52 0
9345.7943925 53 0
9345.7943925 54 0
9345.7943925 55 0
9345.7943925 56 0
9345.7943925 57 0
9345.7943925 58 0
9345.7943925 59 0
9345.7943925 60 0
9345.7943925 61 0
9345.7943925 62 0
9345.7943925 63 0
9345.7943925 64 0
9345.7943925 65 0
9345.7943925 66 0
9345.7943925 67 0
9345.7943925 68 0
9345.7943925 69 0
9345.7943925 70 0
9345.7943925 71 0
9345.7943925 72 0
9345.7943925 73 0
9345.7943925 74 0
9345.7943925 75 0
9345.7943925 76 0
9345.7943925 77 0
9345.7943925 78 0
9345.7943925 79 0
9345.7943925 80 0
9345.7943925 81 0
9345.7943925 82 0
9345.7943925 83 0
9345.7943925 84 0
9345.7943925 85 0
9345.7943925 86 0
9345.7943925 87 0
9345.7943925 88 0
9345.7943925 89 0
9345.7943925 90 0
9345.7943925 91 0
9345.7943925 92 0
9345.7943925 93 0
9345.7943925 94 0
9345.7943925 95 0
9345.7943925 96 0
9345.7943925 97 0
9345.7943925 98 0
9345.7943925 99 0

0 0
0 0
0 0
